exposure,algorithm,n_subjects_denominator,n_nonmissing,pct_missing,mean,sd,p05,p25,median,p75,p95,iqr,min,max
daily_steps,acti,8646,8646,0.0,11875.020522014034,4236.879855619549,5266.464285714286,9006.814285714285,11643.285714285714,14488.89880952381,19321.357142857145,5482.084523809524,828.2857142857143,33835.25
daily_steps,adept,8646,8646,0.0,2454.8246743632944,1604.437098607531,388.4465352624406,1325.676359727229,2206.7155295437788,3245.0791541726885,5454.949972321798,1919.4027944454592,5.56540014606673,20240.87818898735
daily_steps,oak,8646,8646,0.0,11302.61103743267,5312.005542059118,3101.1232142857143,7621.73392857143,10982.394642857147,14509.312500000004,20704.76785714287,6887.578571428576,0.0,38448.01428571427
daily_steps,scrf,8646,8646,0.0,11113.83284673342,6032.678140129138,2237.285714285714,6970.142857142857,10513.571428571428,14452.625,22023.285714285714,7482.482142857143,5.571428571428571,48312.28571428572
daily_steps,scssl,8646,8646,0.0,8759.814259277617,4600.968504375026,1899.642857142857,5592.785714285714,8313.458333333332,11405.785714285714,17019.75,5813.0,0.0,33164.28571428572
daily_steps,vs,8646,8646,0.0,9185.837868047984,4302.429296616502,2596.107142857143,6191.642857142857,8899.928571428572,11751.5,16671.428571428572,5559.857142857143,0.0,31859.571428571428
daily_steps,vsrev,8646,8646,0.0,8673.3923391494,4936.577965656477,1584.392857142857,5141.071428571428,8168.642857142857,11442.839285714286,17553.839285714286,6301.767857142858,0.0,38310.28571428572
