source_algorithm,target_algorithm,n,target_iqr,E,E_recomputed,E_absolute_reproduction_difference,full_range_H,full_range_H_driver,full_range_H_recomputed,full_range_H_absolute_reproduction_difference,common_support_linear_H,common_support_linear_driver,interpretation
acti,adept,8646,1919.4027944454594,0.402173852123114,0.402173852123114,0.0,0.326836552910744,sex,0.326836552910744,0.0,0.3302687017702774,sex,continuous_support_sensitivity_without_acceptability_grade
acti,oak,8646,6887.578571428576,0.1621803430204026,0.16218034302040268,8.326672684688674e-17,0.2422376149418335,age_group,0.24223761494183352,2.7755575615628914e-17,0.2382564572094381,age_group,continuous_support_sensitivity_without_acceptability_grade
acti,scrf,8646,7482.482142857143,0.2063705918579641,0.20637059185796416,5.551115123125783e-17,0.3104461498615042,age_group,0.3104461498615042,0.0,0.2461704464688786,age_group,continuous_support_sensitivity_without_acceptability_grade
acti,scssl,8646,5813.0,0.3102611817644133,0.31026118176441336,5.551115123125783e-17,0.2584581621641114,sex,0.25845816216411144,5.551115123125783e-17,0.282278957192943,sex,continuous_support_sensitivity_without_acceptability_grade
acti,vs,8646,5559.857142857143,0.1987904000917201,0.1987904000917201,0.0,0.1942957736007649,age_group,0.19429577360076491,2.7755575615628914e-17,0.19429577360076491,age_group,continuous_support_sensitivity_without_acceptability_grade
acti,vsrev,8646,6301.767857142858,0.2162259379114645,0.21622593791146455,5.551115123125783e-17,0.358467850098483,age_group,0.35846785009848303,5.551115123125783e-17,0.33481253392162735,age_group,continuous_support_sensitivity_without_acceptability_grade
adept,acti,8646,5482.084523809524,0.3734164448683719,0.37341644486837194,5.551115123125783e-17,0.2811618554498685,age_group,0.28116185544986855,5.551115123125783e-17,0.28116185544986855,age_group,continuous_support_sensitivity_without_acceptability_grade
adept,oak,8646,6887.578571428576,0.3275148455828061,0.32751484558280614,5.551115123125783e-17,0.4287027819880495,age_group,0.4287027819880495,0.0,0.3661914629164892,age_group,continuous_support_sensitivity_without_acceptability_grade
adept,scrf,8646,7482.482142857143,0.3519926112035008,0.35199261120350084,5.551115123125783e-17,0.4375086577904454,age_group,0.43750865779044545,5.551115123125783e-17,0.3576706238383281,age_group,continuous_support_sensitivity_without_acceptability_grade
adept,scssl,8646,5813.0,0.3153045872148338,0.31530458721483384,5.551115123125783e-17,0.2802200038319516,age_group,0.2802200038319516,0.0,0.22802123026103308,age_group,continuous_support_sensitivity_without_acceptability_grade
