exposure,source_algorithm,target_algorithm,method,n,mae,rmse,abs_error_p95,target_iqr,mae_per_target_iqr,age_p95_spread_raw,age_p95_spread_over_target_iqr,sex_p95_spread_raw,sex_p95_spread_over_target_iqr,bmi_p95_spread_raw,bmi_p95_spread_over_target_iqr,max_subgroup_p95_spread_group_type,max_subgroup_p95_spread_raw,max_subgroup_p95_spread_over_target_iqr,max_divergence_group_type,max_divergence_group_level,max_divergence_p95_abs_raw,max_divergence_p95_abs_over_target_iqr,E,H,interpretation
daily_steps,acti,adept,isotonic,8646,771.933615618,1099.335479049252,2189.7196320314147,1919.4027944454592,0.402173852123114,473.3829961683273,0.2466303568684205,627.3309929838033,0.326836552910744,577.2258099531346,0.3007319837313786,sex,627.3309929838033,0.326836552910744,bmi_group,>=30,354.15543668776763,0.1845133484814414,0.402173852123114,0.326836552910744,continuous_evidence_without_acceptability_grade
daily_steps,acti,oak,isotonic,8646,1117.0298552942616,1487.6226385384807,2945.302353323755,6887.578571428576,0.1621803430204026,1668.4306058673392,0.2422376149418335,578.676241622572,0.0840173706363319,871.3318457003679,0.1265077177217075,age_group,1668.4306058673392,0.2422376149418335,age_group,60+,1121.2684042809087,0.1627957333121708,0.1621803430204026,0.2422376149418335,continuous_evidence_without_acceptability_grade
daily_steps,acti,scrf,isotonic,8646,1544.1642683880766,2123.4886819198305,4251.967760373155,7482.482142857143,0.2063705918579641,2322.907772657458,0.3104461498615042,1133.314476827516,0.1514623697310644,937.761021677332,0.1253275321976583,age_group,2322.907772657458,0.3104461498615042,age_group,60+,1624.5941381623088,0.2171196812962879,0.2063705918579641,0.3104461498615042,continuous_evidence_without_acceptability_grade
daily_steps,acti,scssl,isotonic,8646,1803.5482495965348,2413.2984312984386,4890.003351442125,5813.0,0.3102611817644133,1008.3035714285688,0.173456661178147,1502.41729665998,0.2584581621641114,1330.714616139875,0.2289204569309952,sex,1502.41729665998,0.2584581621641114,bmi_group,>=30,910.3563253598768,0.1566069715052256,0.3102611817644133,0.2584581621641114,continuous_evidence_without_acceptability_grade
daily_steps,acti,vs,isotonic,8646,1105.2462258813794,1520.7993057291287,2996.6473872425677,5559.857142857143,0.1987904000917201,1080.2567446811672,0.1942957736007649,422.7958013937314,0.0760443641860304,818.3632971014486,0.1471914252604162,age_group,1080.2567446811672,0.1942957736007649,age_group,20-39,776.575923175923,0.139675517413897,0.1987904000917201,0.1942957736007649,continuous_evidence_without_acceptability_grade
daily_steps,acti,vsrev,isotonic,8646,1362.6056654110346,1780.6683180725513,3563.5856928528992,6301.767857142858,0.2162259379114645,2258.9811755697247,0.358467850098483,552.6859863945556,0.0877033237217875,1090.2594543650812,0.1730085079426253,age_group,2258.9811755697247,0.358467850098483,age_group,60+,1494.7671807359293,0.2371980711796067,0.2162259379114645,0.358467850098483,continuous_evidence_without_acceptability_grade
daily_steps,adept,acti,isotonic,8646,2047.1005133488743,2675.8300534578443,5275.400427102659,5482.084523809524,0.3734164448683719,1541.3530564472949,0.2811618554498685,1316.688304831323,0.240180226903242,898.7959647495372,0.1639514970712199,age_group,1541.3530564472949,0.2811618554498685,age_group,60+,1269.043760705721,0.2314892729570424,0.3734164448683719,0.2811618554498685,continuous_evidence_without_acceptability_grade
daily_steps,adept,oak,isotonic,8646,2255.7842322608744,3033.846412617419,6046.819177725261,6887.578571428576,0.3275148455828061,2952.7240947327064,0.4287027819880495,1807.7913584353792,0.2624712501915486,1193.2402504948986,0.1732452469500329,age_group,2952.7240947327064,0.4287027819880495,age_group,60+,2122.8451169396594,0.308213560821761,0.3275148455828061,0.4287027819880495,continuous_evidence_without_acceptability_grade
daily_steps,adept,scrf,isotonic,8646,2633.7784277478527,3684.1359319613794,7198.229158475126,7482.482142857143,0.3519926112035009,3273.650719262405,0.4375086577904454,1556.3039845376152,0.2079930101835631,1440.9936404220753,0.192582302625027,age_group,3273.650719262405,0.4375086577904454,age_group,60+,2260.171331994952,0.3020617074445725,0.3519926112035009,0.4375086577904454,continuous_evidence_without_acceptability_grade
daily_steps,adept,scssl,isotonic,8646,1832.8655654798297,2476.980137889517,4941.570104467901,5813.0,0.3153045872148339,1628.9188822751348,0.2802200038319516,1208.912818740402,0.2079671114296236,1199.531636865273,0.2063532834793175,age_group,1628.9188822751348,0.2802200038319516,age_group,60+,1427.142629974698,0.2455087957981589,0.3153045872148339,0.2802200038319516,continuous_evidence_without_acceptability_grade
daily_steps,adept,vs,isotonic,8646,1852.520054919307,2485.6496788205704,4890.2517953987135,5559.857142857143,0.3331956212758588,2264.9646480659467,0.4073782095239247,1234.724655233751,0.2220784857431141,1062.6146551724105,0.1911226543900633,age_group,2264.9646480659467,0.4073782095239247,age_group,60+,1308.6620590935163,0.2353769216489276,0.3331956212758588,0.4073782095239247,continuous_evidence_without_acceptability_grade
daily_steps,adept,vsrev,isotonic,8646,2217.3466782381097,3078.5963700035973,6008.32859848485,6301.767857142858,0.351861053676361,3297.9442766022057,0.5233363639163713,1399.2048870896924,0.2220337084463905,1496.929019106541,0.2375411238625394,age_group,3297.9442766022057,0.5233363639163713,age_group,60+,2112.7372751588955,0.3352610446867181,0.351861053676361,0.5233363639163713,continuous_evidence_without_acceptability_grade
daily_steps,oak,acti,isotonic,8646,896.2747695282402,1184.4633735618102,2271.317935750971,5482.084523809524,0.1634915998897103,1196.6318027210882,0.21828043648797,606.3799974329377,0.1106112090755509,546.3266633728563,0.0996567384176724,age_group,1196.6318027210882,0.21828043648797,age_group,20-39,823.2352010360382,0.1501682795040103,0.1634915998897103,0.21828043648797,continuous_evidence_without_acceptability_grade
daily_steps,oak,adept,isotonic,8646,687.3433103954139,1006.4762818358582,2013.6982673930731,1919.4027944454592,0.3581026933921894,924.5218907777694,0.4816716394564153,761.026164876062,0.3964911206123008,439.1007946850595,0.2287694880698147,age_group,924.5218907777694,0.4816716394564153,age_group,60+,532.4973600450212,0.2774286677012297,0.3581026933921894,0.4816716394564153,continuous_evidence_without_acceptability_grade
daily_steps,oak,scrf,isotonic,8646,1355.396815447236,1879.631960826959,3710.1418392374662,7482.482142857143,0.1811426729218608,901.2611992945332,0.1204494955133152,1031.31449163449,0.1378305316263258,1059.513191363505,0.1415991606976205,bmi_group,1059.513191363505,0.1415991606976205,age_group,60+,790.1505494505509,0.1056000581578182,0.1811426729218608,0.1415991606976205,continuous_evidence_without_acceptability_grade
daily_steps,oak,scssl,isotonic,8646,1778.544970842,2345.313464323197,4656.036106125869,5813.0,0.3059599124104593,1585.1420057720045,0.2726891460127308,1840.3173129251736,0.3165864980088033,1362.9970754373176,0.2344739507031339,sex,1840.3173129251736,0.3165864980088033,age_group,60+,996.3463338744624,0.1713996789737592,0.3059599124104593,0.3165864980088033,continuous_evidence_without_acceptability_grade
daily_steps,oak,vs,isotonic,8646,835.4364631017808,1221.564399140591,2295.403324056896,5559.857142857143,0.1502622174699366,1135.9235927656991,0.204308053890385,520.4553196371216,0.0936094770538773,708.5832001133713,0.1274462961739407,age_group,1135.9235927656991,0.204308053890385,age_group,60+,995.3399552029696,0.1790225773123869,0.1502622174699366,0.204308053890385,continuous_evidence_without_acceptability_grade
daily_steps,oak,vsrev,isotonic,8646,875.8238897025514,1231.3810172659582,2490.126753040894,6301.767857142858,0.1389806653556481,1011.1829831932793,0.1604602083282288,585.4400105708228,0.0929009166701126,944.9185689865736,0.149944998039802,age_group,1011.1829831932793,0.1604602083282288,age_group,20-39,601.7502886002903,0.09548912340816,0.1389806653556481,0.1604602083282288,continuous_evidence_without_acceptability_grade
daily_steps,scrf,acti,isotonic,8646,1108.308129915847,1478.7962986277382,2861.5814527237517,5482.084523809524,0.2021691064963148,922.4075396825356,0.1682585402826935,813.7083680874648,0.1484304673803196,735.1533226253459,0.134101055799571,age_group,922.4075396825356,0.1682585402826935,age_group,20-39,749.1042740328458,0.1366458818318784,0.2021691064963148,0.1682585402826935,continuous_evidence_without_acceptability_grade
daily_steps,scrf,adept,isotonic,8646,705.595864586288,1032.928596173562,2064.566811062672,1919.4027944454592,0.3676121899104267,717.714833856714,0.3739261169847734,573.1730732040141,0.298620526583953,639.3399947463768,0.3330931874208771,age_group,717.714833856714,0.3739261169847734,bmi_group,>=30,460.3958198664336,0.2398640979364875,0.3676121899104267,0.3739261169847734,continuous_evidence_without_acceptability_grade
daily_steps,scrf,oak,isotonic,8646,1209.161795914978,1629.054806391536,3195.4338901301985,6887.578571428576,0.1755568787165475,990.8858076187462,0.1438656266992281,913.1349623236764,0.1325770665051419,1009.825333333334,0.1466154357240069,bmi_group,1009.825333333334,0.1466154357240069,age_group,60+,755.6348171015688,0.1097097926746177,0.1755568787165475,0.1466154357240069,continuous_evidence_without_acceptability_grade
daily_steps,scrf,scssl,isotonic,8646,1403.6189214160572,1956.9788049865329,3898.243244280834,5813.0,0.2414620542604605,2110.6091666666653,0.3630843224955557,1781.0004793079245,0.3063823291429424,1199.2026694288852,0.2062966917992233,age_group,2110.6091666666653,0.3630843224955557,age_group,60+,1679.9788095238164,0.2890037518534004,0.2414620542604605,0.3630843224955557,continuous_evidence_without_acceptability_grade
daily_steps,scrf,vs,isotonic,8646,1192.4101717562855,1643.565372853587,3230.2645943663515,5559.857142857143,0.2144677715844188,852.9111152343812,0.1534052212708617,817.2450386904766,0.1469902944791319,989.5059442083456,0.1779732677987209,bmi_group,989.5059442083456,0.1779732677987209,bmi_group,>=30,635.843133195307,0.1143632141721819,0.2144677715844188,0.1779732677987209,continuous_evidence_without_acceptability_grade
daily_steps,scrf,vsrev,isotonic,8646,1328.8315171812817,1832.3495860709272,3619.2432067374048,6301.767857142858,0.2108664659354426,1210.8733428172072,0.1921481987700832,697.0591917674647,0.1106132767136716,1117.357689742561,0.1773086084845335,age_group,1210.8733428172072,0.1921481987700832,age_group,60+,819.3457662310157,0.1300183987739746,0.2108664659354426,0.1921481987700832,continuous_evidence_without_acceptability_grade
daily_steps,scssl,acti,isotonic,8646,1676.3209414177095,2208.04860591022,4221.565243170912,5482.084523809524,0.3057816664696054,1963.1071946533011,0.3580950250086858,1230.6170701824813,0.2244797694814307,836.6160714285716,0.1526091157104603,age_group,1963.1071946533011,0.3580950250086858,age_group,60+,1126.655047619046,0.2055158111345807,0.3057816664696054,0.3580950250086858,continuous_evidence_without_acceptability_grade
daily_steps,scssl,adept,isotonic,8646,625.9699904424904,909.7975386734744,1823.2409305932547,1919.4027944454592,0.3261274768662308,548.5171896013499,0.2857749249864063,365.3621593318444,0.1903519992724624,502.7428667589588,0.2619267139830375,age_group,548.5171896013499,0.2857749249864063,bmi_group,>=30,378.5867396857939,0.1972419446201611,0.3261274768662308,0.2857749249864063,continuous_evidence_without_acceptability_grade
daily_steps,scssl,oak,isotonic,8646,2055.630860187049,2691.217187727617,5276.881515269149,6887.578571428576,0.2984547963945308,3293.413220363618,0.4781670635345681,1439.4526261266828,0.2089925524912191,1115.7623403275934,0.161996313908644,age_group,3293.413220363618,0.4781670635345681,age_group,60+,2070.3388949441287,0.300590239875073,0.2984547963945308,0.4781670635345681,continuous_evidence_without_acceptability_grade
daily_steps,scssl,scrf,isotonic,8646,1828.0733497423196,2594.5082260037702,4855.196574074074,7482.482142857143,0.2443137604394309,2896.0240901360594,0.3870405615201681,1067.6664710884395,0.1426888097698496,1578.0241105214009,0.2108958070855938,age_group,2896.0240901360594,0.3870405615201681,age_group,60+,2130.74857474698,0.2847649395035329,0.2443137604394309,0.3870405615201681,continuous_evidence_without_acceptability_grade
daily_steps,scssl,vs,isotonic,8646,1652.1665089535634,2247.1056262749166,4295.808633139684,5559.857142857143,0.2971598849578597,2003.0072755292897,0.3602623635937466,1053.89982773471,0.1895551991095087,851.8764869111328,0.1532191322587407,age_group,2003.0072755292897,0.3602623635937466,age_group,60+,1212.9409863547762,0.2181604590170208,0.2971598849578597,0.3602623635937466,continuous_evidence_without_acceptability_grade
daily_steps,scssl,vsrev,isotonic,8646,2087.521280840974,2821.0755917319666,5541.632423972441,6301.767857142858,0.3312596287524038,3438.472090409601,0.5456361085266256,1109.3608292762085,0.1760396216466118,1150.589155134987,0.1825819644928415,age_group,3438.472090409601,0.5456361085266256,age_group,60+,1922.2219036478184,0.3050289930101185,0.3312596287524038,0.5456361085266256,continuous_evidence_without_acceptability_grade
daily_steps,vs,acti,isotonic,8646,1109.3857043001174,1483.400999660471,2924.1508017077836,5482.084523809524,0.2023656693876001,876.5497580332922,0.1598935139044835,635.7248627726913,0.1159640753460917,641.2629787947371,0.1169742961841676,age_group,876.5497580332922,0.1598935139044835,age_group,20-39,742.5947405029419,0.1354584624293442,0.2023656693876001,0.1598935139044835,continuous_evidence_without_acceptability_grade
daily_steps,vs,adept,isotonic,8646,696.5124139522036,1004.3877216914244,2016.413982805419,1919.4027944454592,0.3628797540400764,427.4734361214537,0.2227116879054854,747.7377497304951,0.3895679176326959,454.6634900607901,0.2368775805560647,sex,747.7377497304951,0.3895679176326959,sex,female,427.3333950701317,0.2226387271638801,0.3628797540400764,0.3895679176326959,continuous_evidence_without_acceptability_grade
daily_steps,vs,oak,isotonic,8646,1035.870637560659,1503.0439102617615,2939.455885635505,6887.578571428576,0.1503969249596241,1589.5529007018013,0.2307854471955746,572.1519660572558,0.0830701182024532,651.3851391727658,0.0945738959516014,age_group,1589.5529007018013,0.2307854471955746,age_group,60+,1101.4011454173014,0.1599112277261261,0.1503969249596241,0.2307854471955746,continuous_evidence_without_acceptability_grade
daily_steps,vs,scrf,isotonic,8646,1665.6407459542916,2369.748798836445,4733.163202956966,7482.482142857143,0.2226053753491854,1965.426122448982,0.2626703391902109,1518.7987832006002,0.2029806091352268,1138.123555540371,0.1521050814169781,age_group,1965.426122448982,0.2626703391902109,age_group,60+,1447.293245468325,0.1934242164346394,0.2226053753491854,0.2626703391902109,continuous_evidence_without_acceptability_grade
daily_steps,vs,scssl,isotonic,8646,1778.0280086050452,2409.175833379356,4745.724665805646,5813.0,0.3058709803208403,1109.2311474424732,0.1908190516845816,2152.153286528286,0.3702310831805068,1050.889478957777,0.1807826387334899,sex,2152.153286528286,0.3702310831805068,sex,female,1333.776521978023,0.2294471911195635,0.3058709803208403,0.3702310831805068,continuous_evidence_without_acceptability_grade
daily_steps,vs,vsrev,isotonic,8646,788.7867107816195,1157.2866986852832,2241.54659090909,6301.767857142858,0.1251691158200241,1587.6637057387015,0.2519394147372684,375.4653987910988,0.0595809631999567,669.680329407749,0.1062686447024047,age_group,1587.6637057387015,0.2519394147372684,age_group,60+,989.5498376265076,0.1570273390037501,0.1251691158200241,0.2519394147372684,continuous_evidence_without_acceptability_grade
daily_steps,vsrev,acti,isotonic,8646,1190.5012844312084,1514.59921181886,2905.546023742759,5482.084523809524,0.2171621541515241,1551.5038492063504,0.2830134855578993,975.8217241033816,0.1780019479570663,806.9774101382463,0.1472026574259154,age_group,1551.5038492063504,0.2830134855578993,age_group,20-39,1160.9104652435717,0.2117644228580499,0.2171621541515241,0.2830134855578993,continuous_evidence_without_acceptability_grade
daily_steps,vsrev,adept,isotonic,8646,721.9521783958031,1049.6279197883296,2067.080210601424,1919.4027944454592,0.3761337539390134,501.1008212082584,0.2610712158273339,963.8948600490558,0.5021847747843555,529.3149677671281,0.2757706560076433,sex,963.8948600490558,0.5021847747843555,sex,female,597.7983329702965,0.3114501733040397,0.3761337539390134,0.5021847747843555,continuous_evidence_without_acceptability_grade
daily_steps,vsrev,oak,isotonic,8646,947.2664773566944,1284.841812510272,2623.440664974324,6887.578571428576,0.1375325838439355,1469.0692404884649,0.2132925563393987,626.3795751231519,0.0909433654552462,907.2373684210544,0.1317208012964825,age_group,1469.0692404884649,0.2132925563393987,age_group,60+,667.2267934748852,0.0968739284140744,0.1375325838439355,0.2132925563393987,continuous_evidence_without_acceptability_grade
daily_steps,vsrev,scrf,isotonic,8646,1627.9782614801811,2239.4294292774107,4600.7394429103715,7482.482142857143,0.2175719541187634,1399.9507482993183,0.1870971051545678,1607.2904661035536,0.2148071235476171,1610.3279621435686,0.2152130711973439,bmi_group,1610.3279621435686,0.2152130711973439,age_group,60+,1177.2882317382357,0.1573392637979213,0.2175719541187634,0.2152130711973439,continuous_evidence_without_acceptability_grade
daily_steps,vsrev,scssl,isotonic,8646,1965.2107989004169,2614.6069375866023,5140.690838835534,5813.0,0.3380717011698635,1852.4600414078668,0.3186753898860944,2337.224256302523,0.4020685113198904,1231.3959603034446,0.2118348460869507,sex,2337.224256302523,0.4020685113198904,sex,female,1536.6797818003906,0.264352276242971,0.3380717011698635,0.4020685113198904,continuous_evidence_without_acceptability_grade
daily_steps,vsrev,vs,isotonic,8646,684.6475560852087,965.6911920608964,1844.4879484858477,5559.857142857143,0.1231412136127973,1362.6124542124562,0.2450804794441582,389.0595848595822,0.0699765434368065,608.617706766916,0.1094664289259336,age_group,1362.6124542124562,0.2450804794441582,age_group,60+,1076.5204481792716,0.1936237605605206,0.1231412136127973,0.2450804794441582,continuous_evidence_without_acceptability_grade
