baseline_960_common_support_linear_h_per_target_iqr,baseline_960_full_range_h_per_target_iqr,baseline_960_grouped_oof_mae_per_target_iqr,common_support_linear_h_driver,common_support_linear_h_per_target_iqr,common_support_linear_h_reason,delta_vs_960_common_support_linear_h_per_target_iqr,delta_vs_960_full_range_h_per_target_iqr,delta_vs_960_grouped_oof_mae_per_target_iqr,full_range_h_driver,full_range_h_per_target_iqr,full_range_h_reason,grouped_oof_mae_per_target_iqr,n,source_algorithm,target_algorithm,target_iqr,wear_threshold
0.3302687017702774,0.326836552910744,0.402173852123114,sex,0.3783267497063292,ESTIMATED,0.048058047936051784,0.0514901967955852,0.003777195793381871,sex,0.3783267497063292,ESTIMATED,0.4059510479164959,9023,acti,adept,1891.8838008096018,600
0.2382564572094381,0.2422376149418335,0.1621803430204026,age_group,0.2601928943919358,ESTIMATED,0.021936437182497714,0.0246776825518778,0.003036716014001767,age_group,0.2669152974937113,ESTIMATED,0.16521705903440437,9023,acti,oak,6778.805357142856,600
0.2461704464688786,0.3104461498615042,0.2063705918579641,age_group,0.27894156367008127,ESTIMATED,0.03277111720120268,-0.006173530003371841,0.003952169054136673,age_group,0.30427261985813236,ESTIMATED,0.21032276091210078,9023,acti,scrf,7354.357142857143,600
0.282278957192943,0.2584581621641114,0.3102611817644133,sex,0.2852505973743082,ESTIMATED,0.0029716401813651983,0.036819793469171413,0.0004655649151209529,sex,0.2952779556332828,ESTIMATED,0.31072674667953426,9023,acti,scssl,5730.428571428571,600
0.19429577360076491,0.1942957736007649,0.1987904000917201,age_group,0.21122446691268598,ESTIMATED,0.016928693311921067,0.008997103199515522,0.003069239520670508,age_group,0.2032928768002804,ESTIMATED,0.20185963961239062,9023,acti,vs,5443.5,600
0.33481253392162735,0.358467850098483,0.2162259379114645,age_group,0.3403049931966822,ESTIMATED,0.005492459275054873,0.003446504324571442,0.004934637744736764,age_group,0.3619143544230544,ESTIMATED,0.22116057565620126,9023,acti,vsrev,6155.571428571429,600
0.28116185544986855,0.2811618554498685,0.3734164448683719,age_group,0.27208763527575397,ESTIMATED,-0.009074220174114578,-0.009074220174114522,0.005774686898908754,age_group,0.27208763527575397,ESTIMATED,0.37919113176728064,9023,adept,acti,5395.714285714286,600
0.3661914629164892,0.4287027819880495,0.3275148455828061,age_group,0.3214944810128215,ESTIMATED,-0.044696981903667665,-0.016841600388503852,0.002341183058167995,age_group,0.41186118159954566,ESTIMATED,0.3298560286409741,9023,adept,oak,6778.805357142856,600
0.3576706238383281,0.4375086577904454,0.3519926112035008,age_group,0.3609398310348827,ESTIMATED,0.003269207196554602,-0.0022178022729644753,0.001520251313229637,age_group,0.4352908555174809,ESTIMATED,0.3535128625167304,9023,adept,scrf,7354.357142857143,600
0.22802123026103308,0.2802200038319516,0.3153045872148338,age_group,0.24815247539023497,ESTIMATED,0.02013124512920189,-0.016162166209884032,0.001830133366746589,age_group,0.2640578376220676,ESTIMATED,0.3171347205815804,9023,adept,scssl,5730.428571428571,600
0.29527753949702384,0.4073782095239247,0.3331956212758588,age_group,0.2433562133098549,ESTIMATED,-0.05192132618716894,0.004199235774098975,0.004216695039063356,age_group,0.41157744529802365,ESTIMATED,0.33741231631492213,9023,adept,vs,5443.5,600
0.49079861914083606,0.5233363639163713,0.351861053676361,age_group,0.40755548548405834,ESTIMATED,-0.08324313365677771,0.005576045196881263,0.003943568003389408,age_group,0.5289124091132525,ESTIMATED,0.3558046216797504,9023,adept,vsrev,6155.571428571429,600
0.20912213104637115,0.21828043648797,0.1634915998897104,age_group,0.22349254289738538,ESTIMATED,0.014370411851014231,0.018333283481635015,0.004200861025793173,age_group,0.236613719969605,ESTIMATED,0.16769246091550358,9023,oak,acti,5395.714285714286,600
0.38018667175858045,0.4816716394564153,0.3581026933921893,sex,0.40115082041891104,ESTIMATED,0.020964148660330584,-0.033584445584382394,0.001700939365268328,age_group,0.4480871938720329,ESTIMATED,0.35980363275745764,9023,oak,adept,1891.8838008096018,600
0.13783053162632586,0.1415991606976205,0.1811426729218608,sex,0.15251878005988911,ESTIMATED,0.014688248433563256,0.017206435539324244,-0.00045202054597417995,sex,0.15880559623694473,ESTIMATED,0.1806906523758866,9023,oak,scrf,7354.357142857143,600
0.2829911635706426,0.3165864980088033,0.3059599124104593,sex,0.30036019448485785,ESTIMATED,0.017369030914215267,0.0003720952878843997,-0.0018861588580630917,sex,0.3169585932966877,ESTIMATED,0.3040737535523962,9023,oak,scssl,5730.428571428571,600
0.14856348962794919,0.204308053890385,0.1502622174699366,age_group,0.1373358113250362,ESTIMATED,-0.011227678302912991,0.0074039338041757274,0.001037085848866609,age_group,0.21171198769456073,ESTIMATED,0.1512993033188032,9023,oak,vs,5443.5,600
0.13804284951513046,0.1604602083282288,0.1389806653556481,bmi_group,0.15407940822208652,ESTIMATED,0.016036558706956056,-0.0031864365701919084,0.0020928588862864084,age_group,0.1572737717580369,ESTIMATED,0.1410735242419345,9023,oak,vsrev,6155.571428571429,600
