exposure,source_algorithm,target_algorithm,method,method_role,group_type,n_groups_compared,group_levels,group_ns,grid_n,source_grid_min,source_grid_max,target_iqr,mean_between_subgroup_spread_predicted_target,mean_between_subgroup_spread_predicted_target_over_target_iqr,p50_between_subgroup_spread_predicted_target,p50_between_subgroup_spread_predicted_target_over_target_iqr,p95_between_subgroup_spread_predicted_target,p95_between_subgroup_spread_predicted_target_over_target_iqr,max_between_subgroup_spread_predicted_target,max_between_subgroup_spread_predicted_target_over_target_iqr,note
daily_steps,acti,adept,isotonic,headline_subgroup_curve,age_group,3,20-39|40-59|60+,2757|2949|2940,101,5266.464285714286,19321.357142857145,1919.4027944454592,322.830417116489,0.1681931578148811,333.4454308067234,0.1737235309710279,473.3829961683273,0.2466303568684205,543.9520503726603,0.283396508511292,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,acti,adept,isotonic,headline_subgroup_curve,sex,2,male|female,4161|4485,101,5266.464285714286,19321.357142857145,1919.4027944454592,412.8467281078087,0.2150912405163427,430.31501937817507,0.2241921396714954,627.3309929838033,0.326836552910744,714.8470285911394,0.3724320036731363,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,acti,adept,isotonic,headline_subgroup_curve,bmi_group,3,<25|25-<30|>=30,2572|2741|3246,101,5266.464285714286,19321.357142857145,1919.4027944454592,349.33702994235955,0.1820029807986643,340.62215074912046,0.1774625689484476,577.2258099531346,0.3007319837313786,691.1359074570855,0.360078618962709,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,acti,oak,isotonic,headline_subgroup_curve,age_group,3,20-39|40-59|60+,2757|2949|2940,101,5266.464285714286,19321.357142857145,6887.578571428576,1230.7631742583233,0.1786931592132888,1218.5045654164696,0.1769133452024977,1668.4306058673392,0.2422376149418335,2028.7322504915685,0.2945494166712326,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,acti,oak,isotonic,headline_subgroup_curve,sex,2,male|female,4161|4485,101,5266.464285714286,19321.357142857145,6887.578571428576,229.4354084290507,0.0333114760216031,176.2616693557793,0.025591239000446,578.676241622572,0.0840173706363319,1044.1002673551302,0.1515917759089272,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,acti,oak,isotonic,headline_subgroup_curve,bmi_group,3,<25|25-<30|>=30,2572|2741|3246,101,5266.464285714286,19321.357142857145,6887.578571428576,393.64273752335754,0.0571525585430397,349.3245592139556,0.0507180507040663,871.3318457003679,0.1265077177217075,1510.8951046176044,0.2193652078083262,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,acti,scrf,isotonic,headline_subgroup_curve,age_group,3,20-39|40-59|60+,2757|2949|2940,101,5266.464285714286,19321.357142857145,7482.482142857143,1365.9651587271646,0.1825550843487317,1314.7693715581463,0.1757129982345817,2322.907772657458,0.3104461498615042,2701.3219047619095,0.3610194923539671,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,acti,scrf,isotonic,headline_subgroup_curve,sex,2,male|female,4161|4485,101,5266.464285714286,19321.357142857145,7482.482142857143,545.9130122187808,0.0729588125699591,557.5559579964047,0.0745148397752814,1133.314476827516,0.1514623697310644,1214.5514083617454,0.1623193193345832,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,acti,scrf,isotonic,headline_subgroup_curve,bmi_group,3,<25|25-<30|>=30,2572|2741|3246,101,5266.464285714286,19321.357142857145,7482.482142857143,510.8401246961539,0.0682714792956515,471.4537921727406,0.0630076735462436,937.761021677332,0.1253275321976583,1795.4229068941022,0.2399501759730936,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,acti,scssl,isotonic,headline_subgroup_curve,age_group,3,20-39|40-59|60+,2757|2949|2940,101,5266.464285714286,19321.357142857145,5813.0,460.8725772877416,0.0792830857195495,378.5289375472403,0.0651176565538001,1008.3035714285688,0.173456661178147,1414.572777732239,0.2433464265839048,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,acti,scssl,isotonic,headline_subgroup_curve,sex,2,male|female,4161|4485,101,5266.464285714286,19321.357142857145,5813.0,1001.482551283016,0.1722832532742157,1061.8522264131134,0.1826685405837112,1502.41729665998,0.2584581621641114,1927.2489417989416,0.3315411907447001,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,acti,scssl,isotonic,headline_subgroup_curve,bmi_group,3,<25|25-<30|>=30,2572|2741|3246,101,5266.464285714286,19321.357142857145,5813.0,915.0104260546148,0.1574076081291269,961.3091904997418,0.1653723018234546,1330.714616139875,0.2289204569309952,1784.605310457513,0.3070024618024278,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,acti,vs,isotonic,headline_subgroup_curve,age_group,3,20-39|40-59|60+,2757|2949|2940,101,5266.464285714286,19321.357142857145,5559.857142857143,714.3110696911349,0.1284765150142075,696.9971026352268,0.125362412149505,1080.2567446811672,0.1942957736007649,1520.089500000002,0.2734044168657985,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,acti,vs,isotonic,headline_subgroup_curve,sex,2,male|female,4161|4485,101,5266.464285714286,19321.357142857145,5559.857142857143,167.5097931819942,0.0301284347561334,127.57186229674336,0.0229451690967703,422.7958013937314,0.0760443641860304,578.3012962133653,0.1040136969987295,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,acti,vs,isotonic,headline_subgroup_curve,bmi_group,3,<25|25-<30|>=30,2572|2741|3246,101,5266.464285714286,19321.357142857145,5559.857142857143,454.96969576189633,0.0818311845199844,433.0580087102853,0.077890132351088,818.3632971014486,0.1471914252604162,946.6465217391268,0.1702645405116752,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,acti,vsrev,isotonic,headline_subgroup_curve,age_group,3,20-39|40-59|60+,2757|2949|2940,101,5266.464285714286,19321.357142857145,6301.767857142858,1580.0102745514555,0.2507249251907245,1556.5696752710974,0.2470052389357336,2258.9811755697247,0.358467850098483,2719.7079761904733,0.4315785725283055,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,acti,vsrev,isotonic,headline_subgroup_curve,sex,2,male|female,4161|4485,101,5266.464285714286,19321.357142857145,6301.767857142858,247.37750990547073,0.0392552559080823,213.94390847247905,0.0339498238149125,552.6859863945556,0.0877033237217875,967.2227772227724,0.1534843553664795,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,acti,vsrev,isotonic,headline_subgroup_curve,bmi_group,3,<25|25-<30|>=30,2572|2741|3246,101,5266.464285714286,19321.357142857145,6301.767857142858,574.5472044163466,0.0911723848673853,526.6107703476646,0.0835655616464461,1090.2594543650812,0.1730085079426253,1721.279642857142,0.2731423438434224,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,adept,acti,isotonic,headline_subgroup_curve,age_group,3,20-39|40-59|60+,2757|2949|2940,101,388.4465352624406,5454.949972321798,5482.084523809524,849.4706028805296,0.1549539411862677,811.2578514739234,0.1479834628507655,1541.3530564472949,0.2811618554498685,1541.5739245609602,0.2812021445247097,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,adept,acti,isotonic,headline_subgroup_curve,sex,2,male|female,4161|4485,101,388.4465352624406,5454.949972321798,5482.084523809524,661.3582042918464,0.1206399137808743,543.605043907779,0.0991602813759656,1316.688304831323,0.240180226903242,1504.9072631976724,0.2745136921296328,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,adept,acti,isotonic,headline_subgroup_curve,bmi_group,3,<25|25-<30|>=30,2572|2741|3246,101,388.4465352624406,5454.949972321798,5482.084523809524,456.46403045224594,0.0832646830726074,454.8999154813455,0.0829793691625231,898.7959647495372,0.1639514970712199,989.8734836592012,0.1805651626420626,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,adept,oak,isotonic,headline_subgroup_curve,age_group,3,20-39|40-59|60+,2757|2949|2940,101,388.4465352624406,5454.949972321798,6887.578571428576,1620.676233463716,0.2353042098404064,1572.592849382998,0.2283230358934143,2952.7240947327064,0.4287027819880495,2952.7240947327064,0.4287027819880495,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,adept,oak,isotonic,headline_subgroup_curve,sex,2,male|female,4161|4485,101,388.4465352624406,5454.949972321798,6887.578571428576,892.0892143733633,0.1295214573774847,822.9338400295965,0.1194808642101499,1807.7913584353792,0.2624712501915486,1979.06603757658,0.2873384335368962,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,adept,oak,isotonic,headline_subgroup_curve,bmi_group,3,<25|25-<30|>=30,2572|2741|3246,101,388.4465352624406,5454.949972321798,6887.578571428576,590.9197138837872,0.0857949869835347,561.6954521743846,0.081551948387847,1193.2402504948986,0.1732452469500329,1368.004570578231,0.1986190874472287,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,adept,scrf,isotonic,headline_subgroup_curve,age_group,3,20-39|40-59|60+,2757|2949|2940,101,388.4465352624406,5454.949972321798,7482.482142857143,1683.2814865268747,0.2249629807848927,1745.208121273197,0.2332391962925286,3273.650719262405,0.4375086577904454,3273.650719262405,0.4375086577904454,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,adept,scrf,isotonic,headline_subgroup_curve,sex,2,male|female,4161|4485,101,388.4465352624406,5454.949972321798,7482.482142857143,625.4693473434488,0.0835911580411225,610.8369197364473,0.0816356000688299,1556.3039845376152,0.2079930101835631,2101.6295710448667,0.2808733159558696,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,adept,scrf,isotonic,headline_subgroup_curve,bmi_group,3,<25|25-<30|>=30,2572|2741|3246,101,388.4465352624406,5454.949972321798,7482.482142857143,660.469089902394,0.0882687158208436,551.1596512407768,0.0736600022182371,1440.9936404220753,0.192582302625027,2069.2835352891125,0.2765504141248733,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,adept,scssl,isotonic,headline_subgroup_curve,age_group,3,20-39|40-59|60+,2757|2949|2940,101,388.4465352624406,5454.949972321798,5813.0,848.9251888026565,0.1460390828836498,771.508681383003,0.1327212594844319,1628.9188822751348,0.2802200038319516,2237.9429937313143,0.3849893331724263,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,adept,scssl,isotonic,headline_subgroup_curve,sex,2,male|female,4161|4485,101,388.4465352624406,5454.949972321798,5813.0,355.86915755140103,0.0612195351025978,287.7433809202894,0.0494999795149302,1208.912818740402,0.2079671114296236,1547.4823870573837,0.2662106291170452,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,adept,scssl,isotonic,headline_subgroup_curve,bmi_group,3,<25|25-<30|>=30,2572|2741|3246,101,388.4465352624406,5454.949972321798,5813.0,591.1780457961978,0.1016993025625662,571.1907867494829,0.0982609301134496,1199.531636865273,0.2063532834793175,1581.3192839241,0.2720315300058661,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,adept,vs,isotonic,headline_subgroup_curve,age_group,3,20-39|40-59|60+,2757|2949|2940,101,388.4465352624406,5454.949972321798,5559.857142857143,959.4695169206838,0.1725708938678996,991.4991889636458,0.1783317742682371,2264.9646480659467,0.4073782095239247,2264.9646480659467,0.4073782095239247,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,adept,vs,isotonic,headline_subgroup_curve,sex,2,male|female,4161|4485,101,388.4465352624406,5454.949972321798,5559.857142857143,606.8408358998388,0.1091468396232912,596.2607279568747,0.107243893617465,1234.724655233751,0.2220784857431141,1315.5061246681398,0.2366079003231578,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,adept,vs,isotonic,headline_subgroup_curve,bmi_group,3,<25|25-<30|>=30,2572|2741|3246,101,388.4465352624406,5454.949972321798,5559.857142857143,478.0868012872214,0.0859890441432346,404.2910430839006,0.0727160847294972,1062.6146551724105,0.1911226543900633,1134.4595531315972,0.2040447306436748,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,adept,vsrev,isotonic,headline_subgroup_curve,age_group,3,20-39|40-59|60+,2757|2949|2940,101,388.4465352624406,5454.949972321798,6301.767857142858,1914.8093755397024,0.3038527313203588,1929.8932482993205,0.3062463251660161,3297.9442766022057,0.5233363639163713,3297.9442766022057,0.5233363639163713,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,adept,vsrev,isotonic,headline_subgroup_curve,sex,2,male|female,4161|4485,101,388.4465352624406,5454.949972321798,6301.767857142858,683.1064196802014,0.1083991722903473,631.4141049878381,0.1001963447879391,1399.2048870896924,0.2220337084463905,1664.3249204403228,0.2641044478580502,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,adept,vsrev,isotonic,headline_subgroup_curve,bmi_group,3,<25|25-<30|>=30,2572|2741|3246,101,388.4465352624406,5454.949972321798,6301.767857142858,654.2753075673893,0.1038240891126747,526.7967623199529,0.0835950758996691,1496.929019106541,0.2375411238625394,1891.6144043352144,0.3001720227112346,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,oak,acti,isotonic,headline_subgroup_curve,age_group,3,20-39|40-59|60+,2757|2949|2940,101,3101.1232142857143,20704.76785714287,5482.084523809524,777.3429017937627,0.1417969566900409,807.3051870748295,0.1472624479919236,1196.6318027210882,0.21828043648797,1306.2704292051176,0.2382798775779153,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,oak,acti,isotonic,headline_subgroup_curve,sex,2,male|female,4161|4485,101,3101.1232142857143,20704.76785714287,5482.084523809524,235.23811809518816,0.0429103413260983,189.05169174239015,0.0344853660904551,606.3799974329377,0.1106112090755509,951.7504296783444,0.1736110462260748,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,oak,acti,isotonic,headline_subgroup_curve,bmi_group,3,<25|25-<30|>=30,2572|2741|3246,101,3101.1232142857143,20704.76785714287,5482.084523809524,265.57751874526707,0.0484446231341059,241.89136212624544,0.0441239753009415,546.3266633728563,0.0996567384176724,942.3142700121088,0.171889774030206,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,oak,adept,isotonic,headline_subgroup_curve,age_group,3,20-39|40-59|60+,2757|2949|2940,101,3101.1232142857143,20704.76785714287,1919.4027944454592,280.2791911670116,0.146024165421718,195.5234585212138,0.1018668197665634,924.5218907777694,0.4816716394564153,1198.4198639709807,0.624371219755997,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,oak,adept,isotonic,headline_subgroup_curve,sex,2,male|female,4161|4485,101,3101.1232142857143,20704.76785714287,1919.4027944454592,466.4325698521739,0.2430092168261807,457.29577821468183,0.2382489905391643,761.026164876062,0.3964911206123008,985.7922977340022,0.5135932387859269,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
