exposure,source_algorithm,target_algorithm,method,group_type,group_level,source_input,predicted_target_full_sample,predicted_target_subgroup,subgroup_minus_full,subgroup_minus_full_over_target_iqr,target_iqr
daily_steps,acti,adept,isotonic,age_group,20-39,5266.464285714286,564.7246531474158,802.0310231957158,237.3063700483,0.123635523890576,1919.4027944454592
daily_steps,acti,adept,isotonic,age_group,20-39,5407.013214285715,564.7246531474158,802.0310231957158,237.3063700483,0.123635523890576,1919.4027944454592
daily_steps,acti,adept,isotonic,age_group,20-39,5547.562142857143,698.434204221982,862.5038136342097,164.0696094122277,0.0854795095052623,1919.4027944454592
daily_steps,acti,adept,isotonic,age_group,20-39,5688.111071428572,698.434204221982,870.4773060944965,172.0431018725145,0.0896336622882848,1919.4027944454592
daily_steps,acti,adept,isotonic,age_group,20-39,5828.660000000001,698.434204221982,897.358086038105,198.92388181612296,0.1036384246140449,1919.4027944454592
daily_steps,acti,adept,isotonic,age_group,20-39,5969.208928571429,752.8521604910229,969.3065141079012,216.45435361687828,0.1127717195386363,1919.4027944454592
daily_steps,acti,adept,isotonic,age_group,20-39,6109.757857142858,752.8521604910229,969.3065141079012,216.45435361687828,0.1127717195386363,1919.4027944454592
daily_steps,acti,adept,isotonic,age_group,20-39,6250.306785714286,941.4825546115516,1017.3454620092726,75.86290739772096,0.0395242247313903,1919.4027944454592
daily_steps,acti,adept,isotonic,age_group,20-39,6390.855714285715,941.4825546115516,1143.3742372112838,201.89168259973212,0.1051846351292102,1919.4027944454592
daily_steps,acti,adept,isotonic,age_group,20-39,6531.404642857144,941.4825546115516,1143.3742372112838,201.89168259973212,0.1051846351292102,1919.4027944454592
daily_steps,acti,adept,isotonic,age_group,20-39,6671.953571428572,941.4825546115516,1143.3742372112838,201.89168259973212,0.1051846351292102,1919.4027944454592
daily_steps,acti,adept,isotonic,age_group,20-39,6812.5025000000005,941.4825546115516,1239.9205178596096,298.43796324805794,0.155484801893435,1919.4027944454592
daily_steps,acti,adept,isotonic,age_group,20-39,6953.051428571429,941.4825546115516,1239.9205178596096,298.43796324805794,0.155484801893435,1919.4027944454592
daily_steps,acti,adept,isotonic,age_group,20-39,7093.600357142857,941.4825546115516,1346.7515642842818,405.26900967273014,0.2111432841743974,1919.4027944454592
daily_steps,acti,adept,isotonic,age_group,20-39,7234.149285714286,1086.8999231469322,1352.304387814178,265.40446466724575,0.1382745015456354,1919.4027944454592
daily_steps,acti,adept,isotonic,age_group,20-39,7374.698214285715,1147.2738292895854,1352.304387814178,205.0305585245926,0.1068199750036461,1919.4027944454592
daily_steps,acti,adept,isotonic,age_group,20-39,7515.247142857143,1181.2320214138651,1417.406057170337,236.17403575647177,0.123045582948995,1919.4027944454592
daily_steps,acti,adept,isotonic,age_group,20-39,7655.796071428572,1181.2320214138651,1417.406057170337,236.17403575647177,0.123045582948995,1919.4027944454592
daily_steps,acti,adept,isotonic,age_group,20-39,7796.345000000001,1181.2320214138651,1417.406057170337,236.17403575647177,0.123045582948995,1919.4027944454592
daily_steps,acti,adept,isotonic,age_group,20-39,7936.89392857143,1341.551419694995,1454.935051676323,113.38363198132788,0.0590723491230958,1919.4027944454592
daily_steps,acti,adept,isotonic,age_group,20-39,8077.442857142858,1341.551419694995,1473.2708913919748,131.71947169697978,0.0686252370154724,1919.4027944454592
daily_steps,acti,adept,isotonic,age_group,20-39,8217.991785714286,1422.5894433753342,1599.09068853335,176.50124515801576,0.0919563343706651,1919.4027944454592
daily_steps,acti,adept,isotonic,age_group,20-39,8358.540714285715,1422.5894433753342,1599.09068853335,176.50124515801576,0.0919563343706651,1919.4027944454592
daily_steps,acti,adept,isotonic,age_group,20-39,8499.089642857143,1422.5894433753342,1599.09068853335,176.50124515801576,0.0919563343706651,1919.4027944454592
daily_steps,acti,adept,isotonic,age_group,20-39,8639.638571428572,1510.996076459102,1698.880873985073,187.8847975259712,0.0978871126319546,1919.4027944454592
daily_steps,acti,adept,isotonic,age_group,20-39,8780.1875,1510.996076459102,1754.7067744652124,243.71069800611053,0.1269721492077548,1919.4027944454592
daily_steps,acti,adept,isotonic,age_group,20-39,8920.736428571428,1588.63618641398,1754.7067744652124,166.07058805123256,0.0865220101438961,1919.4027944454592
daily_steps,acti,adept,isotonic,age_group,20-39,9061.285357142857,1691.1652442094771,1802.1743705554345,111.00912634595716,0.0578352426427664,1919.4027944454592
daily_steps,acti,adept,isotonic,age_group,20-39,9201.834285714283,1730.1758355118284,1802.1743705554345,71.9985350436059,0.0375109045646707,1919.4027944454592
daily_steps,acti,adept,isotonic,age_group,20-39,9342.383214285715,1788.298702182038,1908.0513496672536,119.75264748521568,0.0623905768147085,1919.4027944454592
daily_steps,acti,adept,isotonic,age_group,20-39,9482.932142857144,1788.298702182038,1995.8832826747105,207.5845804926721,0.1081506086650488,1919.4027944454592
daily_steps,acti,adept,isotonic,age_group,20-39,9623.481071428572,1788.298702182038,1995.8832826747105,207.5845804926721,0.1081506086650488,1919.4027944454592
daily_steps,acti,adept,isotonic,age_group,20-39,9764.03,1788.298702182038,1995.8832826747105,207.5845804926721,0.1081506086650488,1919.4027944454592
daily_steps,acti,adept,isotonic,age_group,20-39,9904.578928571427,1851.0199334196489,1995.8832826747105,144.86334925506162,0.0754731365788776,1919.4027944454592
daily_steps,acti,adept,isotonic,age_group,20-39,10045.127857142856,1988.6817648390695,1996.4147943148696,7.733029475799867,0.0040288726775736,1919.4027944454592
daily_steps,acti,adept,isotonic,age_group,20-39,10185.676785714288,2006.486326591793,2157.8845654147076,151.39823882291466,0.0788777838924922,1919.4027944454592
daily_steps,acti,adept,isotonic,age_group,20-39,10326.225714285716,2006.486326591793,2157.8845654147076,151.39823882291466,0.0788777838924922,1919.4027944454592
daily_steps,acti,adept,isotonic,age_group,20-39,10466.774642857144,2042.6256995364563,2157.8845654147076,115.2588658782513,0.060049337331277,1919.4027944454592
daily_steps,acti,adept,isotonic,age_group,20-39,10607.323571428573,2160.215210734352,2260.2119801201206,99.9967693857684,0.05209785547627,1919.4027944454592
daily_steps,acti,adept,isotonic,age_group,20-39,10747.8725,2160.215210734352,2260.2119801201206,99.9967693857684,0.05209785547627,1919.4027944454592
daily_steps,acti,adept,isotonic,age_group,20-39,10888.42142857143,2160.215210734352,2260.2119801201206,99.9967693857684,0.05209785547627,1919.4027944454592
daily_steps,acti,adept,isotonic,age_group,20-39,11028.970357142858,2258.303004248775,2394.0974552155626,135.79445096678774,0.0707482824135517,1919.4027944454592
daily_steps,acti,adept,isotonic,age_group,20-39,11169.519285714288,2258.303004248775,2394.0974552155626,135.79445096678774,0.0707482824135517,1919.4027944454592
daily_steps,acti,adept,isotonic,age_group,20-39,11310.068214285717,2336.2178636839003,2394.0974552155626,57.8795915316623,0.0301550001381468,1919.4027944454592
daily_steps,acti,adept,isotonic,age_group,20-39,11450.617142857143,2419.3572541027047,2529.3768780524765,110.0196239497718,0.0573197164598053,1919.4027944454592
daily_steps,acti,adept,isotonic,age_group,20-39,11591.166071428572,2419.3572541027047,2529.3768780524765,110.0196239497718,0.0573197164598053,1919.4027944454592
daily_steps,acti,adept,isotonic,age_group,20-39,11731.715,2598.9390677595443,2647.627468540386,48.688400780841675,0.0253664321640775,1919.4027944454592
daily_steps,acti,adept,isotonic,age_group,20-39,11872.263928571429,2598.9390677595443,2647.627468540386,48.688400780841675,0.0253664321640775,1919.4027944454592
daily_steps,acti,adept,isotonic,age_group,20-39,12012.812857142855,2598.9390677595443,2647.627468540386,48.688400780841675,0.0253664321640775,1919.4027944454592
daily_steps,acti,adept,isotonic,age_group,20-39,12153.361785714284,2608.3851843376515,2647.627468540386,39.24228420273448,0.0204450490101907,1919.4027944454592
daily_steps,acti,adept,isotonic,age_group,20-39,12293.910714285714,2608.3851843376515,2647.627468540386,39.24228420273448,0.0204450490101907,1919.4027944454592
