resource_version,mapping_id,source_algorithm,source_algorithm_label,target_algorithm,target_algorithm_label,direction_reversible,input_unit,output_unit,analysis_level,fit_method,n_fit,training_source_min_steps,training_source_max_steps,released_source_p05_steps,released_source_p95_steps,released_support_rule,out_of_range_policy,exact_knot_nodes,exact_knots_within_released_support,conversion_interpolation_rule,rounding_rule,oof_mae_target_steps,target_iqr,E_oof_mae_per_target_iqr,H_full_range_max_subgroup_spread_per_target_iqr,H_driver,exact_knots_file,strict_converter_file,table_s2_role,use_boundary,exact_knots_sha256
1.1.1,adept_to_vs,adept,ADEPT,vs,Verisense,False,steps/day,steps/day,participant_multi_day_mean_daily_steps,nonnegative_nondecreasing_isotonic_regression,8646,5.56540014606673,20240.87818898735,388.4465352624406,5454.949972321798,pooled_source_P05_to_P95,reject_no_formal_conversion,232,166,linear_between_exact_isotonic_thresholds,round_after_interpolation_only_when_whole_steps_are_required,1852.5200549193069,5559.857142857143,0.3331956212758588,0.4073782095239247,age_group,crosswalk_exact_knots.csv,analysis/crosswalk_converter.py,direction_index_and_use_boundaries,"Direction-specific re-expression of participant multi-day mean daily steps only; not true-step accuracy, health-threshold equivalence, or sample-marginal prevalence alignment.",775a590802a91fa8ed1860b58621b74566e4a1f4057fc26a94033cc18c07248a
1.1.1,adept_to_vsrev,adept,ADEPT,vsrev,Verisense-revised,False,steps/day,steps/day,participant_multi_day_mean_daily_steps,nonnegative_nondecreasing_isotonic_regression,8646,5.56540014606673,20240.87818898735,388.4465352624406,5454.949972321798,pooled_source_P05_to_P95,reject_no_formal_conversion,246,160,linear_between_exact_isotonic_thresholds,round_after_interpolation_only_when_whole_steps_are_required,2217.3466782381097,6301.767857142858,0.351861053676361,0.5233363639163713,age_group,crosswalk_exact_knots.csv,analysis/crosswalk_converter.py,direction_index_and_use_boundaries,"Direction-specific re-expression of participant multi-day mean daily steps only; not true-step accuracy, health-threshold equivalence, or sample-marginal prevalence alignment.",775a590802a91fa8ed1860b58621b74566e4a1f4057fc26a94033cc18c07248a
1.1.1,oak_to_acti,oak,Oak,acti,ActiLife,False,steps/day,steps/day,participant_multi_day_mean_daily_steps,nonnegative_nondecreasing_isotonic_regression,8646,0.0,38448.01428571427,3101.1232142857143,20704.76785714287,pooled_source_P05_to_P95,reject_no_formal_conversion,356,258,linear_between_exact_isotonic_thresholds,round_after_interpolation_only_when_whole_steps_are_required,896.2747695282403,5482.084523809524,0.1634915998897104,0.21828043648797,age_group,crosswalk_exact_knots.csv,analysis/crosswalk_converter.py,direction_index_and_use_boundaries,"Direction-specific re-expression of participant multi-day mean daily steps only; not true-step accuracy, health-threshold equivalence, or sample-marginal prevalence alignment.",775a590802a91fa8ed1860b58621b74566e4a1f4057fc26a94033cc18c07248a
1.1.1,oak_to_adept,oak,Oak,adept,ADEPT,False,steps/day,steps/day,participant_multi_day_mean_daily_steps,nonnegative_nondecreasing_isotonic_regression,8646,0.0,38448.01428571427,3101.1232142857143,20704.76785714287,pooled_source_P05_to_P95,reject_no_formal_conversion,207,142,linear_between_exact_isotonic_thresholds,round_after_interpolation_only_when_whole_steps_are_required,687.3433103954138,1919.4027944454592,0.3581026933921893,0.4816716394564153,age_group,crosswalk_exact_knots.csv,analysis/crosswalk_converter.py,direction_index_and_use_boundaries,"Direction-specific re-expression of participant multi-day mean daily steps only; not true-step accuracy, health-threshold equivalence, or sample-marginal prevalence alignment.",775a590802a91fa8ed1860b58621b74566e4a1f4057fc26a94033cc18c07248a
1.1.1,oak_to_scrf,oak,Oak,scrf,Stepcount-RF,False,steps/day,steps/day,participant_multi_day_mean_daily_steps,nonnegative_nondecreasing_isotonic_regression,8646,0.0,38448.01428571427,3101.1232142857143,20704.76785714287,pooled_source_P05_to_P95,reject_no_formal_conversion,328,237,linear_between_exact_isotonic_thresholds,round_after_interpolation_only_when_whole_steps_are_required,1355.396815447236,7482.482142857143,0.1811426729218608,0.1415991606976205,bmi_group,crosswalk_exact_knots.csv,analysis/crosswalk_converter.py,direction_index_and_use_boundaries,"Direction-specific re-expression of participant multi-day mean daily steps only; not true-step accuracy, health-threshold equivalence, or sample-marginal prevalence alignment.",775a590802a91fa8ed1860b58621b74566e4a1f4057fc26a94033cc18c07248a
1.1.1,oak_to_scssl,oak,Oak,scssl,Stepcount-SSL,False,steps/day,steps/day,participant_multi_day_mean_daily_steps,nonnegative_nondecreasing_isotonic_regression,8646,0.0,38448.01428571427,3101.1232142857143,20704.76785714287,pooled_source_P05_to_P95,reject_no_formal_conversion,234,164,linear_between_exact_isotonic_thresholds,round_after_interpolation_only_when_whole_steps_are_required,1778.544970842,5813.0,0.3059599124104593,0.3165864980088033,sex,crosswalk_exact_knots.csv,analysis/crosswalk_converter.py,direction_index_and_use_boundaries,"Direction-specific re-expression of participant multi-day mean daily steps only; not true-step accuracy, health-threshold equivalence, or sample-marginal prevalence alignment.",775a590802a91fa8ed1860b58621b74566e4a1f4057fc26a94033cc18c07248a
1.1.1,oak_to_vs,oak,Oak,vs,Verisense,False,steps/day,steps/day,participant_multi_day_mean_daily_steps,nonnegative_nondecreasing_isotonic_regression,8646,0.0,38448.01428571427,3101.1232142857143,20704.76785714287,pooled_source_P05_to_P95,reject_no_formal_conversion,348,237,linear_between_exact_isotonic_thresholds,round_after_interpolation_only_when_whole_steps_are_required,835.4364631017809,5559.857142857143,0.1502622174699366,0.204308053890385,age_group,crosswalk_exact_knots.csv,analysis/crosswalk_converter.py,direction_index_and_use_boundaries,"Direction-specific re-expression of participant multi-day mean daily steps only; not true-step accuracy, health-threshold equivalence, or sample-marginal prevalence alignment.",775a590802a91fa8ed1860b58621b74566e4a1f4057fc26a94033cc18c07248a
1.1.1,oak_to_vsrev,oak,Oak,vsrev,Verisense-revised,False,steps/day,steps/day,participant_multi_day_mean_daily_steps,nonnegative_nondecreasing_isotonic_regression,8646,0.0,38448.01428571427,3101.1232142857143,20704.76785714287,pooled_source_P05_to_P95,reject_no_formal_conversion,434,309,linear_between_exact_isotonic_thresholds,round_after_interpolation_only_when_whole_steps_are_required,875.8238897025514,6301.767857142858,0.1389806653556481,0.1604602083282288,age_group,crosswalk_exact_knots.csv,analysis/crosswalk_converter.py,direction_index_and_use_boundaries,"Direction-specific re-expression of participant multi-day mean daily steps only; not true-step accuracy, health-threshold equivalence, or sample-marginal prevalence alignment.",775a590802a91fa8ed1860b58621b74566e4a1f4057fc26a94033cc18c07248a
1.1.1,scrf_to_acti,scrf,Stepcount-RF,acti,ActiLife,False,steps/day,steps/day,participant_multi_day_mean_daily_steps,nonnegative_nondecreasing_isotonic_regression,8646,5.571428571428571,48312.28571428572,2237.285714285714,22023.285714285714,pooled_source_P05_to_P95,reject_no_formal_conversion,295,212,linear_between_exact_isotonic_thresholds,round_after_interpolation_only_when_whole_steps_are_required,1108.3081299158473,5482.084523809524,0.2021691064963148,0.1682585402826935,age_group,crosswalk_exact_knots.csv,analysis/crosswalk_converter.py,direction_index_and_use_boundaries,"Direction-specific re-expression of participant multi-day mean daily steps only; not true-step accuracy, health-threshold equivalence, or sample-marginal prevalence alignment.",775a590802a91fa8ed1860b58621b74566e4a1f4057fc26a94033cc18c07248a
1.1.1,scrf_to_adept,scrf,Stepcount-RF,adept,ADEPT,False,steps/day,steps/day,participant_multi_day_mean_daily_steps,nonnegative_nondecreasing_isotonic_regression,8646,5.571428571428571,48312.28571428572,2237.285714285714,22023.285714285714,pooled_source_P05_to_P95,reject_no_formal_conversion,184,145,linear_between_exact_isotonic_thresholds,round_after_interpolation_only_when_whole_steps_are_required,705.5958645862879,1919.4027944454592,0.3676121899104267,0.3739261169847734,age_group,crosswalk_exact_knots.csv,analysis/crosswalk_converter.py,direction_index_and_use_boundaries,"Direction-specific re-expression of participant multi-day mean daily steps only; not true-step accuracy, health-threshold equivalence, or sample-marginal prevalence alignment.",775a590802a91fa8ed1860b58621b74566e4a1f4057fc26a94033cc18c07248a
1.1.1,scrf_to_oak,scrf,Stepcount-RF,oak,Oak,False,steps/day,steps/day,participant_multi_day_mean_daily_steps,nonnegative_nondecreasing_isotonic_regression,8646,5.571428571428571,48312.28571428572,2237.285714285714,22023.285714285714,pooled_source_P05_to_P95,reject_no_formal_conversion,339,249,linear_between_exact_isotonic_thresholds,round_after_interpolation_only_when_whole_steps_are_required,1209.161795914978,6887.578571428576,0.1755568787165475,0.1466154357240069,bmi_group,crosswalk_exact_knots.csv,analysis/crosswalk_converter.py,direction_index_and_use_boundaries,"Direction-specific re-expression of participant multi-day mean daily steps only; not true-step accuracy, health-threshold equivalence, or sample-marginal prevalence alignment.",775a590802a91fa8ed1860b58621b74566e4a1f4057fc26a94033cc18c07248a
1.1.1,scrf_to_scssl,scrf,Stepcount-RF,scssl,Stepcount-SSL,False,steps/day,steps/day,participant_multi_day_mean_daily_steps,nonnegative_nondecreasing_isotonic_regression,8646,5.571428571428571,48312.28571428572,2237.285714285714,22023.285714285714,pooled_source_P05_to_P95,reject_no_formal_conversion,282,204,linear_between_exact_isotonic_thresholds,round_after_interpolation_only_when_whole_steps_are_required,1403.618921416057,5813.0,0.2414620542604605,0.3630843224955557,age_group,crosswalk_exact_knots.csv,analysis/crosswalk_converter.py,direction_index_and_use_boundaries,"Direction-specific re-expression of participant multi-day mean daily steps only; not true-step accuracy, health-threshold equivalence, or sample-marginal prevalence alignment.",775a590802a91fa8ed1860b58621b74566e4a1f4057fc26a94033cc18c07248a
1.1.1,scrf_to_vs,scrf,Stepcount-RF,vs,Verisense,False,steps/day,steps/day,participant_multi_day_mean_daily_steps,nonnegative_nondecreasing_isotonic_regression,8646,5.571428571428571,48312.28571428572,2237.285714285714,22023.285714285714,pooled_source_P05_to_P95,reject_no_formal_conversion,277,197,linear_between_exact_isotonic_thresholds,round_after_interpolation_only_when_whole_steps_are_required,1192.4101717562855,5559.857142857143,0.2144677715844188,0.1779732677987209,bmi_group,crosswalk_exact_knots.csv,analysis/crosswalk_converter.py,direction_index_and_use_boundaries,"Direction-specific re-expression of participant multi-day mean daily steps only; not true-step accuracy, health-threshold equivalence, or sample-marginal prevalence alignment.",775a590802a91fa8ed1860b58621b74566e4a1f4057fc26a94033cc18c07248a
1.1.1,scrf_to_vsrev,scrf,Stepcount-RF,vsrev,Verisense-revised,False,steps/day,steps/day,participant_multi_day_mean_daily_steps,nonnegative_nondecreasing_isotonic_regression,8646,5.571428571428571,48312.28571428572,2237.285714285714,22023.285714285714,pooled_source_P05_to_P95,reject_no_formal_conversion,271,195,linear_between_exact_isotonic_thresholds,round_after_interpolation_only_when_whole_steps_are_required,1328.8315171812812,6301.767857142858,0.2108664659354425,0.1921481987700832,age_group,crosswalk_exact_knots.csv,analysis/crosswalk_converter.py,direction_index_and_use_boundaries,"Direction-specific re-expression of participant multi-day mean daily steps only; not true-step accuracy, health-threshold equivalence, or sample-marginal prevalence alignment.",775a590802a91fa8ed1860b58621b74566e4a1f4057fc26a94033cc18c07248a
1.1.1,scssl_to_acti,scssl,Stepcount-SSL,acti,ActiLife,False,steps/day,steps/day,participant_multi_day_mean_daily_steps,nonnegative_nondecreasing_isotonic_regression,8646,0.0,33164.28571428572,1899.642857142857,17019.75,pooled_source_P05_to_P95,reject_no_formal_conversion,195,150,linear_between_exact_isotonic_thresholds,round_after_interpolation_only_when_whole_steps_are_required,1676.3209414177095,5482.084523809524,0.3057816664696054,0.3580950250086858,age_group,crosswalk_exact_knots.csv,analysis/crosswalk_converter.py,direction_index_and_use_boundaries,"Direction-specific re-expression of participant multi-day mean daily steps only; not true-step accuracy, health-threshold equivalence, or sample-marginal prevalence alignment.",775a590802a91fa8ed1860b58621b74566e4a1f4057fc26a94033cc18c07248a
1.1.1,scssl_to_adept,scssl,Stepcount-SSL,adept,ADEPT,False,steps/day,steps/day,participant_multi_day_mean_daily_steps,nonnegative_nondecreasing_isotonic_regression,8646,0.0,33164.28571428572,1899.642857142857,17019.75,pooled_source_P05_to_P95,reject_no_formal_conversion,202,149,linear_between_exact_isotonic_thresholds,round_after_interpolation_only_when_whole_steps_are_required,625.9699904424904,1919.4027944454592,0.3261274768662308,0.2857749249864063,age_group,crosswalk_exact_knots.csv,analysis/crosswalk_converter.py,direction_index_and_use_boundaries,"Direction-specific re-expression of participant multi-day mean daily steps only; not true-step accuracy, health-threshold equivalence, or sample-marginal prevalence alignment.",775a590802a91fa8ed1860b58621b74566e4a1f4057fc26a94033cc18c07248a
1.1.1,scssl_to_oak,scssl,Stepcount-SSL,oak,Oak,False,steps/day,steps/day,participant_multi_day_mean_daily_steps,nonnegative_nondecreasing_isotonic_regression,8646,0.0,33164.28571428572,1899.642857142857,17019.75,pooled_source_P05_to_P95,reject_no_formal_conversion,201,148,linear_between_exact_isotonic_thresholds,round_after_interpolation_only_when_whole_steps_are_required,2055.6308601870487,6887.578571428576,0.2984547963945307,0.4781670635345681,age_group,crosswalk_exact_knots.csv,analysis/crosswalk_converter.py,direction_index_and_use_boundaries,"Direction-specific re-expression of participant multi-day mean daily steps only; not true-step accuracy, health-threshold equivalence, or sample-marginal prevalence alignment.",775a590802a91fa8ed1860b58621b74566e4a1f4057fc26a94033cc18c07248a
