analysis_weighting,attainment_difference_pp,baseline_960_attainment_difference_pp,baseline_960_cohen_kappa,baseline_960_discordant_reclassification_pct,baseline_960_mapped_source_attainment_pct,baseline_960_n_rows,baseline_960_negative_agreement,baseline_960_observed_target_attainment_pct,baseline_960_positive_agreement,baseline_960_target_threshold_degenerate,both_negative,both_positive,cohen_kappa,delta_vs_960_attainment_difference_pp,delta_vs_960_cohen_kappa,delta_vs_960_discordant_reclassification_pct,delta_vs_960_mapped_source_attainment_pct,delta_vs_960_negative_agreement,delta_vs_960_observed_target_attainment_pct,delta_vs_960_positive_agreement,denominator_measure,discordant_reclassification_pct,exposure,mapped_negative_target_positive,mapped_positive_target_negative,mapped_source_attainment_pct,measure_unit,method,n_rows,negative_agreement,note,observed_target_attainment_pct,positive_agreement,source_algorithm,target_algorithm,target_threshold_degenerate,threshold_target_steps,validation,wear_threshold
unweighted_primary,0.6760500942037062,0.8790191996298824,0.8263866596666568,8.443210733287069,58.720795743696506,8646,0.8988078735791516,57.841776544066626,0.9275649930541774,False,3532.0,4734.0,0.8291830265760963,-0.2029691054261762,0.0027963669094395,-0.0535398921034282,-1.7220148504237542,0.0044014346934477,-1.5190457449975838,-0.0015992228830282,9023.0,8.38967084118364,daily_steps,348.0,409.0,56.99878089327275,subjects,isotonic,9023,0.9032093082725994,"Mapped source is the grouped five-fold OOF isotonic prediction on the target algorithm scale. Positive/negative agreement are symmetric: 2a/(2a+b+c) and 2d/(2d+b+c). Cohen kappa uses the observed agreement minus agreement expected from the mapped/target marginals, divided by one minus expected agreement; every cell and marginal is WTMEC4YR-weighted in the weighted sensitivity. Attainment difference is mapped minus observed target percentage points. WTMEC4YR changes evaluation weights only; the D7 headline crosswalk fit remains unweighted.",56.32273079906904,0.9259657701711492,acti,oak,False,10000.0,whole_cohort_subject_grouped_5fold_oof,600
WTMEC4YR_weighted_sensitivity,-0.1765594403602244,0.0587657569885213,0.8303080364167069,8.133789174557515,60.196352934713325,8646,0.8979014503034632,60.1375871777248,0.9324065249840784,False,70855823.109924,103158423.230063,0.8332252789789326,-0.2353251973487458,0.0029172425622256,-0.037729401398737,-1.754479828174503,0.0044847371916397,-1.51915463082576,-0.0015679689762673,189343618.90303895,8.096059773158778,daily_steps,7831838.2984725,7497534.2645795,58.44187310653882,WTMEC4YR,isotonic,9023,0.902386187495103,"Mapped source is the grouped five-fold OOF isotonic prediction on the target algorithm scale. Positive/negative agreement are symmetric: 2a/(2a+b+c) and 2d/(2d+b+c). Cohen kappa uses the observed agreement minus agreement expected from the mapped/target marginals, divided by one minus expected agreement; every cell and marginal is WTMEC4YR-weighted in the weighted sensitivity. Attainment difference is mapped minus observed target percentage points. WTMEC4YR changes evaluation weights only; the D7 headline crosswalk fit remains unweighted.",58.61843254689904,0.930838556007811,acti,oak,False,10000.0,whole_cohort_subject_grouped_5fold_oof,600
unweighted_primary,1.706749418153608,2.4288688410825765,0.7833804200553174,7.91117279666898,77.2033310201249,8646,0.8352601156069365,74.77446217904233,0.947945205479452,False,1887.0,6390.0,0.7798880977487114,-0.7221194229289685,-0.003492322306606,0.3565873717894039,-1.3970581618737723,-0.000304363394547,-0.6749387389448032,-0.0030982440717927,9023.0,8.267760168458384,daily_steps,296.0,450.0,75.80627285825113,subjects,isotonic,9023,0.8349557522123894,"Mapped source is the grouped five-fold OOF isotonic prediction on the target algorithm scale. Positive/negative agreement are symmetric: 2a/(2a+b+c) and 2d/(2d+b+c). Cohen kappa uses the observed agreement minus agreement expected from the mapped/target marginals, divided by one minus expected agreement; every cell and marginal is WTMEC4YR-weighted in the weighted sensitivity. Attainment difference is mapped minus observed target percentage points. WTMEC4YR changes evaluation weights only; the D7 headline crosswalk fit remains unweighted.",74.09952344009753,0.9448469614076592,acti,scrf,False,7000.0,whole_cohort_subject_grouped_5fold_oof,600
WTMEC4YR_weighted_sensitivity,1.0421363136760675,1.7780921659855342,0.7819485924872674,7.456023259087622,79.01548374226105,8646,0.8295654099926046,77.23739157627551,0.95228232924426,False,36221374.422405496,138321958.6234845,0.7796068519582026,-0.7359558523094667,-0.0023417405290648,0.3606044904475149,-1.5326978384511136,0.000790263583976,-0.7967419861416403,-0.0030648999713972,189343618.90303895,7.816627749535137,daily_steps,6413533.623466,8386752.233683001,77.48278590380994,WTMEC4YR,isotonic,9023,0.8303556735765807,"Mapped source is the grouped five-fold OOF isotonic prediction on the target algorithm scale. Positive/negative agreement are symmetric: 2a/(2a+b+c) and 2d/(2d+b+c). Cohen kappa uses the observed agreement minus agreement expected from the mapped/target marginals, divided by one minus expected agreement; every cell and marginal is WTMEC4YR-weighted in the weighted sensitivity. Attainment difference is mapped minus observed target percentage points. WTMEC4YR changes evaluation weights only; the D7 headline crosswalk fit remains unweighted.",76.44064959013387,0.9492174292728628,acti,scrf,False,7000.0,whole_cohort_subject_grouped_5fold_oof,600
unweighted_primary,0.9198714396542074,1.0409437890353868,0.7787283437028218,9.48415452232246,69.41938468656026,8646,0.8475269616957977,68.37844089752487,0.931173409434279,False,2467.0,5695.0,0.7811648987258482,-0.1210723493811793,0.0024365550230263,0.0581263155363434,-1.0718284414089825,0.0038966793740902,-0.9507560920278024,-0.0014533865790018,9023.0,9.542280837858804,daily_steps,389.0,472.0,68.34755624515128,subjects,isotonic,9023,0.8514236410698879,"Mapped source is the grouped five-fold OOF isotonic prediction on the target algorithm scale. Positive/negative agreement are symmetric: 2a/(2a+b+c) and 2d/(2d+b+c). Cohen kappa uses the observed agreement minus agreement expected from the mapped/target marginals, divided by one minus expected agreement; every cell and marginal is WTMEC4YR-weighted in the weighted sensitivity. Attainment difference is mapped minus observed target percentage points. WTMEC4YR changes evaluation weights only; the D7 headline crosswalk fit remains unweighted.",67.42768480549707,0.9297200228552772,acti,scrf,False,8000.0,whole_cohort_subject_grouped_5fold_oof,600
WTMEC4YR_weighted_sensitivity,0.2449092312780676,0.1861109678868433,0.7787410797723838,9.113577383853215,71.08177106763985,8646,0.8429304739997717,70.89566009975302,0.9358096754609666,False,48053569.82797401,123720663.3040595,0.7791487164498688,0.0587982633912242,0.000407636677485,0.1655236879408175,-0.9778948666148608,0.0025135549673586,-1.0366931300060855,-0.0021065644179335,189343618.90303895,9.279101071794036,daily_steps,8552832.884738,9016552.8862675,70.10387620102499,WTMEC4YR,isotonic,9023,0.8454440289671303,"Mapped source is the grouped five-fold OOF isotonic prediction on the target algorithm scale. Positive/negative agreement are symmetric: 2a/(2a+b+c) and 2d/(2d+b+c). Cohen kappa uses the observed agreement minus agreement expected from the mapped/target marginals, divided by one minus expected agreement; every cell and marginal is WTMEC4YR-weighted in the weighted sensitivity. Attainment difference is mapped minus observed target percentage points. WTMEC4YR changes evaluation weights only; the D7 headline crosswalk fit remains unweighted.",69.85896696974693,0.933703111043033,acti,scrf,False,8000.0,whole_cohort_subject_grouped_5fold_oof,600
unweighted_primary,-0.1773246148731089,0.4973398103169102,0.7976874453819645,10.05089058524173,54.25630349294471,8646,0.8907330567081605,53.7589636826278,0.9069493521790342,False,3820.0,4275.0,0.7937797077520671,-0.6746644251900191,-0.0039077376298973,0.2339370773981901,-1.823631432654345,0.0009569526289077,-1.1489670074643286,-0.0048603038566032,9023.0,10.28482766263992,daily_steps,472.0,456.0,52.432672060290365,subjects,isotonic,9023,0.8916900093370682,"Mapped source is the grouped five-fold OOF isotonic prediction on the target algorithm scale. Positive/negative agreement are symmetric: 2a/(2a+b+c) and 2d/(2d+b+c). Cohen kappa uses the observed agreement minus agreement expected from the mapped/target marginals, divided by one minus expected agreement; every cell and marginal is WTMEC4YR-weighted in the weighted sensitivity. Attainment difference is mapped minus observed target percentage points. WTMEC4YR changes evaluation weights only; the D7 headline crosswalk fit remains unweighted.",52.60999667516347,0.9020890483224308,acti,scrf,False,10000.0,whole_cohort_subject_grouped_5fold_oof,600
WTMEC4YR_weighted_sensitivity,-1.3713889135018698,-0.69022116947558,0.7910165745067161,10.300939908702397,55.620118923779295,8646,0.8830362938908154,56.31034009325487,0.907970180778632,False,76340380.18491599,93049799.9727805,0.7876216452770579,-0.6811677440262898,-0.0033949292296582,0.2372756704349523,-1.8933542005825643,0.0013815164410159,-1.2121864565562743,-0.0048066014988052,189343618.90303895,10.538215579137349,daily_steps,11275038.071701,8678400.6736415,53.72676472319673,WTMEC4YR,isotonic,9023,0.8844178103318313,"Mapped source is the grouped five-fold OOF isotonic prediction on the target algorithm scale. Positive/negative agreement are symmetric: 2a/(2a+b+c) and 2d/(2d+b+c). Cohen kappa uses the observed agreement minus agreement expected from the mapped/target marginals, divided by one minus expected agreement; every cell and marginal is WTMEC4YR-weighted in the weighted sensitivity. Attainment difference is mapped minus observed target percentage points. WTMEC4YR changes evaluation weights only; the D7 headline crosswalk fit remains unweighted.",55.0981536366986,0.9031635792798266,acti,scrf,False,10000.0,whole_cohort_subject_grouped_5fold_oof,600
unweighted_primary,2.948021722265326,3.678001387925045,0.6747918466454771,15.012722646310433,65.81077955123756,8646,0.791653290529695,62.13277816331251,0.8826613632254565,False,2719.0,4968.0,0.6845438600173206,-0.7299796656597191,0.0097520133718435,-0.2061173044064101,-1.8741731010546945,0.0111220268603255,-1.1441934353949748,-0.0011851389529228,9023.0,14.806605341904024,daily_steps,535.0,801.0,63.936606450182865,subjects,isotonic,9023,0.8027753173900206,"Mapped source is the grouped five-fold OOF isotonic prediction on the target algorithm scale. Positive/negative agreement are symmetric: 2a/(2a+b+c) and 2d/(2d+b+c). Cohen kappa uses the observed agreement minus agreement expected from the mapped/target marginals, divided by one minus expected agreement; every cell and marginal is WTMEC4YR-weighted in the weighted sensitivity. Attainment difference is mapped minus observed target percentage points. WTMEC4YR changes evaluation weights only; the D7 headline crosswalk fit remains unweighted.",60.98858472791754,0.8814762242725337,acti,scssl,False,7000.0,whole_cohort_subject_grouped_5fold_oof,600
WTMEC4YR_weighted_sensitivity,1.9830242548668944,2.8215488858586713,0.6781485050303933,14.450395508863314,67.44525973428583,8646,0.7872784258855056,64.62371084842717,0.890584476844898,False,53410460.3888785,108712581.8513625,0.6857940589264795,-0.8385246309917771,0.0076455538960862,-0.0741113644594886,-1.850107467597482,0.0096458312844067,-1.011582836605719,-0.0018497562735445,189343618.90303895,14.376284144403826,daily_steps,11732923.387454,15487653.275344,65.59515226668834,WTMEC4YR,isotonic,9023,0.7969242571699123,"Mapped source is the grouped five-fold OOF isotonic prediction on the target algorithm scale. Positive/negative agreement are symmetric: 2a/(2a+b+c) and 2d/(2d+b+c). Cohen kappa uses the observed agreement minus agreement expected from the mapped/target marginals, divided by one minus expected agreement; every cell and marginal is WTMEC4YR-weighted in the weighted sensitivity. Attainment difference is mapped minus observed target percentage points. WTMEC4YR changes evaluation weights only; the D7 headline crosswalk fit remains unweighted.",63.61212801182145,0.8887347205713535,acti,scssl,False,7000.0,whole_cohort_subject_grouped_5fold_oof,600
