exposure,algorithm_a,algorithm_b,n_pair,pearson_r,spearman_r,mean_a_minus_b,median_a_minus_b,median_abs_diff,p95_abs_diff,bland_altman_lower_loa,bland_altman_upper_loa,note
daily_steps,acti,adept,8646,0.7301413276083666,0.7707712505396578,9420.19584765074,9139.789198704611,9139.789198704611,15059.908703785051,3039.304743762227,15801.086951539251,Unordered pairwise agreement on subjects with both exposures non-missing.
daily_steps,acti,oak,8646,0.9601958210219708,0.9581092974256517,572.4094845813627,619.635714285715,1151.8535714285715,3561.542857142855,-2792.624070843449,3937.4430400061738,Unordered pairwise agreement on subjects with both exposures non-missing.
daily_steps,acti,scrf,8646,0.9340298941207392,0.9360039995322784,761.1876752806143,1020.8571428571428,1695.7142857142858,5201.089285714284,-4273.0935941349035,5795.468944696133,Unordered pairwise agreement on subjects with both exposures non-missing.
daily_steps,acti,scssl,8646,0.8512391120764606,0.8488083569371904,3115.2062627364157,2965.7857142857147,3001.0,7190.023809523809,-1658.6616896038013,7889.074215076633,Unordered pairwise agreement on subjects with both exposures non-missing.
daily_steps,acti,vs,8646,0.9357075182185728,0.9375250421954224,2689.182653966051,2687.6190476190473,2704.857142857143,5134.446428571429,-314.32539269501285,5692.690700627115,Unordered pairwise agreement on subjects with both exposures non-missing.
daily_steps,acti,vsrev,8646,0.9299814347029092,0.926043077525293,3201.628182864633,3229.7142857142862,3246.583333333334,6145.035714285715,-422.2789610857212,6825.535326814987,Unordered pairwise agreement on subjects with both exposures non-missing.
daily_steps,adept,oak,8646,0.7794222639969854,0.8265151502166087,-8847.786363069376,-8438.55517565076,8438.55517565076,16310.639766989934,-17048.444691065888,-647.128035072863,Unordered pairwise agreement on subjects with both exposures non-missing.
daily_steps,adept,scrf,8646,0.7582193190432183,0.8206872757184811,-8659.008172370124,-8041.108791005821,8041.108791005821,17684.08058912634,-18318.793075842317,1000.7767311020708,Unordered pairwise agreement on subjects with both exposures non-missing.
daily_steps,adept,scssl,8646,0.8244119842189197,0.8546225891172968,-6304.989584914324,-5926.348045494773,5927.108809500458,12483.414624154222,-12972.323484686352,362.3443148577044,Unordered pairwise agreement on subjects with both exposures non-missing.
daily_steps,adept,vs,8646,0.7819082882557589,0.819409254248094,-6731.013193684688,-6420.023683823216,6420.023683823216,12451.641110461602,-13018.345576767431,-443.6808106019443,Unordered pairwise agreement on subjects with both exposures non-missing.
daily_steps,adept,vsrev,8646,0.7522273081275083,0.8096371698815571,-6218.5676647861055,-5622.856130819844,5622.856130819844,13259.15890732362,-13816.720637930914,1379.5853083587035,Unordered pairwise agreement on subjects with both exposures non-missing.
daily_steps,oak,scrf,8646,0.9496481071245352,0.9509876711135,188.77819069925144,302.67214285714135,1053.960714285714,3828.358928571435,-3604.9658389321976,3982.5222203307,Unordered pairwise agreement on subjects with both exposures non-missing.
daily_steps,oak,scssl,8646,0.8616063183982141,0.8533102582075384,2542.7967781550524,2303.1857142857157,2411.3535714285745,7174.1607142857165,-2742.06956368757,7827.663119997675,Unordered pairwise agreement on subjects with both exposures non-missing.
daily_steps,oak,vs,8646,0.9591008765924314,0.9626412007474686,2116.773169384688,2004.5619047619089,2037.8357142857171,5104.44970238095,-1214.4799520123588,5448.026290781735,Unordered pairwise agreement on subjects with both exposures non-missing.
daily_steps,oak,vsrev,8646,0.967086155912894,0.9692257000584972,2629.2186982832704,2566.0535714285725,2573.9500000000007,4914.596428571432,-49.0005346058806,5307.4379311724215,Unordered pairwise agreement on subjects with both exposures non-missing.
daily_steps,scrf,scssl,8646,0.9039203597699348,0.9077650308739866,2354.018587455801,1868.5142857142848,1918.499999999999,7164.4375,-2971.773040512383,7679.810215423985,Unordered pairwise agreement on subjects with both exposures non-missing.
daily_steps,scrf,vs,8646,0.9210983785288078,0.9272406621877078,1927.9949786854368,1604.9714285714283,1826.7142857142856,6662.535714285713,-3290.7497825012942,7146.739739872168,Unordered pairwise agreement on subjects with both exposures non-missing.
