absolute_change,analysis_weighting,baseline_960,current,degenerate_status_changed_n,maximum,maximum_absolute_change_vs_960,median,median_absolute_change_vs_960,metric,minimum,n_comparable_nondegenerate,na_n,q25,q75,rank,section,source_algorithm,spearman_vs_960,target_algorithm,target_steps,wear_threshold
,,,,,0.4059510479164959,0.005774686898908754,0.24288215255404,0.0018581461124048404,E,0.12508328193530935,,0,0.20283508008411807,0.330844497593004,,continuous_summary,,0.9978932015233775,,,600
0.005774686898908754,,0.3734164448683719,0.37919113176728064,,,,,,E,,,,,,1,continuous_largest_absolute_change,adept,,acti,,600
0.004947946856785734,,0.217162154151524,0.22211010100830975,,,,,,E,,,,,,2,continuous_largest_absolute_change,vsrev,,acti,,600
0.004934637744736764,,0.2162259379114645,0.22116057565620126,,,,,,E,,,,,,3,continuous_largest_absolute_change,acti,,vsrev,,600
0.00455853936215575,,0.2021691064963148,0.20672764585847056,,,,,,E,,,,,,4,continuous_largest_absolute_change,scrf,,acti,,600
0.004216695039063356,,0.3331956212758588,0.33741231631492213,,,,,,E,,,,,,5,continuous_largest_absolute_change,adept,,vs,,600
,,,,,0.4050232176336428,0.004129536664442435,0.24368158518737928,0.001464455916789495,E,0.12522413505698524,,0,0.20241559260936187,0.33132304087789355,,continuous_summary,,0.9982173243659349,,,720
0.004129536664442435,,0.3331956212758588,0.3373251579403012,,,,,,E,,,,,,1,continuous_largest_absolute_change,adept,,vs,,720
0.0040250831797000175,,0.3734164448683719,0.3774415280480719,,,,,,E,,,,,,2,continuous_largest_absolute_change,adept,,acti,,720
0.003471100402850258,,0.351861053676361,0.35533215407921126,,,,,,E,,,,,,3,continuous_largest_absolute_change,adept,,vsrev,,720
0.0034209326350145286,,0.217162154151524,0.22058308678653854,,,,,,E,,,,,,4,continuous_largest_absolute_change,vsrev,,acti,,720
0.002920747858793482,,0.2162259379114645,0.21914668577025798,,,,,,E,,,,,,5,continuous_largest_absolute_change,acti,,vsrev,,720
,,,,,0.41155590370252765,0.010226518495888515,0.24590322191383882,0.004991647745780481,E,0.1256478692825084,,0,0.20430797775969273,0.33921034599457894,,continuous_summary,,0.998541447208492,,,1296
0.010226518495888515,,0.351861053676361,0.3620875721722495,,,,,,E,,,,,,1,continuous_largest_absolute_change,adept,,vsrev,,1296
0.00984448430575352,,0.3761337539390134,0.3859782382447669,,,,,,E,,,,,,2,continuous_largest_absolute_change,vsrev,,adept,,1296
0.009755464757645771,,0.3628797540400764,0.37263521879772216,,,,,,E,,,,,,3,continuous_largest_absolute_change,vs,,adept,,1296
0.00938205157941363,,0.402173852123114,0.41155590370252765,,,,,,E,,,,,,4,continuous_largest_absolute_change,acti,,adept,,1296
0.00936729650437862,,0.3312596287524038,0.3406269252567824,,,,,,E,,,,,,5,continuous_largest_absolute_change,scssl,,vsrev,,1296
